Original_Text,City,Country
"Em. Van der Fraenen
18 Chaussée de St Amand
Tournai",La Chaussée,France
"Em. Van der Fraenen
18 Chaussée de St Amand
Tournai",Saint-Amand,France
"Em. Van der Fraenen
18 Chaussée de St Amand
Tournai",Tournai,Belgium
"Emaillierwerk Gottfried Dichanz
Berlin S.O. 36
Taborstr. 11",Berlin,Germany
Voigt & Haeffner A.G.,,
Frankfurt a/M.,Frankfurt,Germany
Agt. G. Van Begin. Cie,Chicago,United States
34 Rue Van de Weyer Brussel,Weyer,France
34 Rue Van de Weyer Brussel,Brussels,Belgium
Hartmann. Braun A.G. Frankfurt,Frankfurt,Germany
Agt. G. Van Begin 34 Rue Van de Weyer a/M,Weyer,France
Brussel,Brussels,Belgium
Emaillerie Koekelberg,,
L. Horickx J. O. Wolk. Co,,
46 rue Otlet Brussel,Brussels,Belgium
Norddeutsche Kabelwerke Akt. Ges.,,
Am Oberhafen Berlin Neukölln,Berlin,Germany
Am Oberhafen Berlin Neukölln,Neukölln,Germany
Gebrler Werke Akt. Ges,,
Eisengiesserei Emaillierwerk Apparaten,,
Radebeul bau,Radebeul,Germany
P. Gossen & Co,,
Fabrik elektrischer Messgeräte,,
Erlangen.,,
Zander & Co Erfurt,Erfurt,Germany
Grossbetrieb für Papier & Metallverarbeitung,,
Elektrotechnische Fabrik J. Carl,,
Oberweimar (Thür),,
Mechanische Weberei G.m.b.H.,,
Bad Lippspringe,,
"Trefileries Laminoirs, Fonderies",,
of Chauny à Paris,Paris,France
usine à Chauny,Chauny,France
Vertr. H. Allut. Co Gillon str. 69,,
Brussel 3,Brussels,Belgium
Diamond State Fibre Cy Bridgeport U.S.A,Bridgeport,United States
La Fibre Diamond La Plaine St Denis (Seine),Plaine,France
La Fibre Diamond La Plaine St Denis (Seine),Saint-Denis,France
Etabli. Barrier Valence (Drôme),Valencia,Spain
Algm. Vertw. L. Jean Berger,,
85 rue Ernest Charles Marcinelle,,
National Vulcanized Fibre Cy Wilmington,Wilmington,United States
