Original_Text,City,Country
"Tosch & Devereux          Bruxll
51 Boulevard du Régent
Dépot: de: F. Soennecken Bonn",Bonn,Germany
"C. J. Klaebe Maschinenbürstenfabrik
Dresden N.",Dresden,Germany
"Grimmitschauer Maschinenbürsten Fabrik
Robert Unger Grimmitschau",,
"Gipswerke Kasetitz Akt. Ges.
Niedersachswerfen
i. S.",,
"Werk Wiegersdorf Harz
(Desiré Vroome Transvaalstr. 44 Blles
Curghem)
Meyer G.m.b.H. Hagen i. W.",,
"G. Boyazis-Outelet
Rubensstr. 43 (Place Liedts)
<u>Bxl</u>",,
E. & J. Roisin & C<u>ie</u> Chatelet,,
"O. Marciat Rue du Mail 9 <u>Bxl</u>
(vertgw. der Firma Stolte & C<u>ie</u>",,
"Chemische Werke Schaumburg
Act. Ges.
Ahnsen
Post Bückeburg",Schaumburg,United States
"Saccharin Fabrik Akt. Ges. Magdeburg
Vertgw. Mathieu Camerlinck
165 Rue du Midi
Brussel",Magdeburg,Germany
"Saccharin Fabrik Akt. Ges. Magdeburg
Vertgw. Mathieu Camerlinck
165 Rue du Midi
Brussel",Bruxelles - Brussel,Belgium
Pietzschner & Fritzsching Dresden,Dresden,Germany
"Gebr. Gutbrod G.m.b.H. Frankfurt a/M.
Fellnerstr 115",,
"Ferd Legros 115 Avenue
Huart Hamoir
<u>Bxl</u>",,
"D<u>r</u> W. Sander Richeldorferhuette
Agent: G. Desjardin & C<u>o</u> B<u>d</u> du Midi 60
Bxl",Brussels,Belgium
"Silesian Bobbin Factory Arthur Gläser
Agts. for Inland & Export Donnerau
India Agencies L<u>td</u>
16 Spitaler Str. Hamburg 1",Hamburg,Germany
"Wilfrid Harrison L<u>td</u> 1 Godliman Str. St Paul's London EC4

South Wales Tinplate Corporation
Bush House Aldwich London WC2",,
"Peter Freres Antwerpen 36 Lange Nieuwstr.
Agents. Gen. p. Belgique du Syndicat des Sels Gemmes
et du Chlore & Magnesie",,
"Bergbaugesellschaft St. Andreasberg
b/ Ober Harz
Vertr. Scheller & C<u>o</u> Frankfurt a/Main
43 rue des Peignes Anvers",Frankfurt,Germany
"Chemische Fabrik """"Lipsia""""
Agt Alf. Cloquette Av. de l'Observatoire
Liège",Leipzig,Germany
"Chemische Fabrik """"Lipsia""""
Agt Alf. Cloquette Av. de l'Observatoire
Liège",Liège,Belgium
"Mÿ De Bouwmaterialen Langstraat 20-28
Borgerhout",,
"Arnold Reinshagen Leipzig
Ernst Leitz
Zeiss Ikon A.G. Dresden
Eugen Bauer Stuttgart
Ica A.G. Dresden
Phania Werke A. Bamberg Berlin
Friedman",Leipzig,Germany
"Oct. Reinartz 7 Place du Parc Luik
Manufacture Générale de Caoutchouc de la Meuse
Anciens Etablissements Octase Hamoir.
Schlessin lez Liège",Liège,Belgium
"Guill. Mesmaekers 58 Osij straat
Antwerpen",Antwerp,Belgium
"Manufacture de Bayeux
J. P. Morlent & G. Saintville
Depot à Paris: 20 Passages des Petites Ecuries 10e",Paris,France
"Stellawerk Sté An. an. m. Wilisch & Co
Berg. Gladbach
Rep. P. Holgraf rue de l'Hermitage Bxl",Brussels,Belgium
"L. Boulade 4 Chemin St Servais
Lyon-Monplaisir
Representants
G. Guillemin & Cie 22 Rue de la Bourse Blles",,
"Marret & Bonnin 73 Karthuizersstr.
Brussel.",Bruxelles - Brussel,Belgium
"Sté An. Demaria - Lapierre
169 Quai de Valmy Parijs",,
"Heinr. Ernemann A. G.
Schandauerstrasse 48 Dresden A",Dresden,Germany
J. Demaria Rue de Clichy 35 Paris,Paris,France
J. Demaria Rue de Clichy 35 Paris,Clichy,France
"London Carbon Paper Works
Ag. Gen. Belgique Longue rue Van Ruybroeck 35
Antwerpen",Antwerp,Belgium
"Carbonicum Company Ltd Londres
Bur. Belge A. Hanay 24 R. de Jupille Liège",Liège,Belgium
"Carbonicum Company Ltd Londres
Bur. Belge A. Hanay 24 R. de Jupille Liège",Borgo Valsugana,Italy
"~~Comptoir Europeen Imp. Exp. Liège~~
~~Guy Gairio 1 Place de la Bourse Bruxelles~~",,
"Frans Mathyssens
Sterlingerstr. 87 Borgerhout Anvers",,
"L'Hoir Leto & Fils Fab. Belge de
Prod. Calorifuges
R.F.C L'Hoir Succ.
Jemappes (Hain)",,
"Société pour l'Industrie Chimique à Bâle
Usines à Bâle et Petit-Huningue,
Monthey (Valais)
Saint-Fons (Rhône)
Dépositaire: Georges Deuil
89 Avenue Eugène Demolder
Brussel.",Basel,Switzerland
"Société pour l'Industrie Chimique à Bâle
Usines à Bâle et Petit-Huningue,
Monthey (Valais)
Saint-Fons (Rhône)
Dépositaire: Georges Deuil
89 Avenue Eugène Demolder
Brussel.",Bruxelles - Brussel,Belgium
"Comptoir Belge du Carbure de Calcium Boul. Ad. Max 102 (Bruxelles)
Usine à Carbure
Sté Belge des Produits Electro-Thermiques
Lodelinsart",Brussels,Belgium
"The British Cellulose & Chemical Manu-
facturing Co Spondon near Derby",Derby,United Kingdom
"Pott Cassels & Williamson Motherwell
Thos. Broadbent & Sons Huddersfield
Ateliers H. Krantz Aix la Chapelle",Aix-en-Pévèle,France
"Monte & Cie Bur. 8 Rue de l'Arsenal Marseille
Usine: Montredon prés Marseille
(Marque: Mulaton) Agde (Hérault)",Monte,France
"Monte & Cie Bur. 8 Rue de l'Arsenal Marseille
Usine: Montredon prés Marseille
(Marque: Mulaton) Agde (Hérault)",Chicago,United States
"Monte & Cie Bur. 8 Rue de l'Arsenal Marseille
Usine: Montredon prés Marseille
(Marque: Mulaton) Agde (Hérault)",Borgo Valsugana,Italy
"Monte & Cie Bur. 8 Rue de l'Arsenal Marseille
Usine: Montredon prés Marseille
(Marque: Mulaton) Agde (Hérault)",Marseille,France
"Monte & Cie Bur. 8 Rue de l'Arsenal Marseille
Usine: Montredon prés Marseille
(Marque: Mulaton) Agde (Hérault)",Montredon,France
"Monte & Cie Bur. 8 Rue de l'Arsenal Marseille
Usine: Montredon prés Marseille
(Marque: Mulaton) Agde (Hérault)",Agde,France
"Moses Sereinsky Co Indianapolis Ind.
Walter Cohn Neuer Wall 71 Hamburg",Hamburg,Germany
"J. Legrand & Cie Tivolistraat 27
(fabrikanten) Brussel (Zeehaven)",Bruxelles - Brussel,Belgium
Cellulose Products (1926) Ltd Horton Hill Nr. Colnbrook Bucks.,,
"Deutsche Sprengstoff. Act. Ges.
Europahaus Hamburg I
fabriek in Düren

Westfälische Anhaltische Sprengstoff Act. Ges.
Chemische Fabriken Potsdamer Str. 127/128 Berlin W
Fabriken in:
Reinsdorf
Coswig
Sythep
Sinsen
Urdorf (Schweiz)",Duren,Germany
